cust,sum,count
M000136117,27452630.0,109
M000419293,1926900.0,62
M000494848,197228780.0,397
M000557840,2332838.0,328
M000871427,2183060.0,93
M000986912,1377870.0,96
M001248380,992100.0,38
M001403108,733238.0,92
M001444118,12002336.0,517
M001521411,932548.0,106
M001697471,2423160.0,88
M001714196,5231800.0,277
M001808316,5758940.0,114
M001932188,638710.0,84
M002009440,3796120.0,162
M002186187,732285.0,102
M002352655,5326745.0,93
M002476170,28612256.0,90
M003423693,273760.0,31
M003427143,1518010.0,62
M003528940,1143413.0,109
M003574741,2440280.0,47
M003673750,3434270.0,295
M003765725,12730980.0,479
M003803545,7309465.0,908
M003834772,1596700.0,350
M003842970,5902070.0,102
M003972434,900820.0,47
M003978013,5409803.0,385
M004338856,4885464.0,530
M004368674,373430.0,53
M004382321,425150.0,27
M004430311,892510.0,61
M004452072,1199190.0,30
M004587507,7215740.0,9
M004593982,17798630.0,268
M004701344,2701060.0,80
M004725109,9368020.0,641
M004743281,10413050.0,93
M004831050,2005236.0,87
M004839058,4667766.0,232
M004843133,928544.0,160
M005113806,11317610.0,164
M005209297,5076546.0,369
M005360407,3353820.0,59
M005392126,3270335.0,250
M005701809,3431850.0,102
M005930833,9470624.0,222
M006101185,3104366.0,294
M006103201,14814595.0,428
M006114154,3212347.0,238
M006155904,651930.0,134
M006272431,25689824.0,472
M006276409,9619620.0,48
M006358338,1020820.0,34
M006422356,2323583.0,294
M006453588,2294062.0,363
M006679751,1934470.0,160
M006728866,2970450.0,60
M006775596,3310891.0,216
M006904172,10665736.0,350
M006962764,1170330.0,38
M006985653,1707100.0,62
M006997862,11251611.0,763
M007196501,4828114.0,250
M007229712,2202280.0,87
M007463920,3728118.0,179
M007490836,3424660.0,81
M007569854,4777510.0,393
M007808106,714464.0,38
M008123058,930460.0,69
M008269534,16326800.0,546
M008280181,4117730.0,280
M008396737,5814830.0,153
M008527766,6843128.0,38
M008722896,659028.0,85
M008809647,44160680.0,88
M008864908,988500.0,22
M008960015,456500.0,33
M009102336,505060.0,63
M009109982,8124509.0,90
M009120822,12020900.0,229
M009298760,429520.0,49
M009491102,2220280.0,132
M010031285,560281.0,121
M010034420,542400.0,22
M010053498,579770.0,65
M010674880,2032804.0,227
M010967394,2817723.0,115
M011187683,4340009.0,56
M011501995,699740.0,65
M011527521,43655760.0,485
M011543777,2206882.0,175
M011946286,1154732.0,228
M011970152,312210.0,16
M012085309,4746776.0,290
M012096174,2030920.0,42
M012312404,1072034.0,53
M012350286,889320.0,71
M012732690,1210469.0,144
M012778138,2807650.0,223
M013069595,4746618.0,193
M013090322,26000.0,1
M013178107,1485420.0,74
M013256049,1141973.0,74
M013285074,4379870.0,187
M013639641,267520.0,19
M013700307,1343653.0,119
M013769296,872603.0,135
M013938777,1712180.0,93
M013962648,4699852.0,198
M014008347,4434286.0,128
M014035745,2715730.0,40
M014070401,13900.0,4
M014275222,12126715.0,1230
M014292351,738770.0,95
M014340605,2778487.0,260
M014382968,3122450.0,40
M014583713,20183908.0,359
M014747239,4566920.0,96
M015042346,7561722.0,615
M015046115,624812.0,58
M015325650,10332830.0,28
M015471763,4849457.0,372
M015491572,1981800.0,410
M015518376,1890010.0,45
M015614508,82300.0,26
M015650164,5163068.0,402
M015674072,5695080.0,513
M015674351,313950.0,45
M015750998,9377961.0,829
M015851779,9919210.0,209
M015853886,4026152.0,343
M015892198,9418630.0,283
M016004710,13371270.0,236
M016061527,155670.0,48
M016070523,8025820.0,241
M016223791,76150.0,15
M016312977,6480900.0,23
M016404339,24334437.0,140
M016631704,7179800.0,625
M016698917,1471610.0,28
M016707093,4660047.0,434
M016751224,5925530.0,140
M016764179,20950717.0,321
M016813663,3010726.0,360
M016822877,3998130.0,377
M016827017,2009169.0,140
M016843749,13946596.0,462
M016999679,1223260.0,116
M017173158,4095432.0,445
M017524395,531893.0,142
M017535243,7151158.0,373
M017593881,1204173.0,113
M017726470,1070930.0,26
M017874504,810130.0,62
M018156864,9958286.0,503
M018184823,5637690.0,120
M018261698,14102406.0,134
M018268015,2963124.0,532
M018305555,2069722.0,219
M018340302,6900339.0,600
M018522655,1790210.0,36
M018701446,287000.0,3
M018754345,2623943.0,161
M018846875,686368.0,127
M019728616,8402400.0,89
M019822754,6921186.0,110
M019905252,46388430.0,186
M020104311,6179258.0,127
M020136767,2425090.0,89
M020145678,5826055.0,475
M020155133,1575310.0,170
M020192002,1461049.0,275
M020552991,2522100.0,135
M020573391,7211460.0,52
M020664921,28755690.0,34
M020675585,1751790.0,84
M020734806,743565.0,339
M020795432,5416460.0,1002
M020850597,1423540.0,231
M020870342,7063260.0,107
