,num,cust,recency,count,sum
1,1,M000419293,20211124,39,1926900.0
3,3,M000557840,20211225,49,2332838.0
4,4,M000871427,20211218,53,2183060.0
5,5,M000986912,20211221,48,1377870.0
6,6,M001248380,20211206,38,992100.0
7,7,M001403108,20211230,50,733238.0
8,8,M001444118,20211229,116,12002336.0
9,9,M001521411,20211223,27,932548.0
10,10,M001697471,20211214,35,2423160.0
11,11,M001714196,20211229,131,5231800.0
12,12,M001808316,20211231,78,5758940.0
13,13,M001932188,20211201,31,638710.0
14,14,M002009440,20211229,55,3796120.0
15,15,M002186187,20210812,20,732285.0
16,16,M002352655,20211224,55,5326745.0
18,18,M003423693,20210423,27,273760.0
19,19,M003427143,20211229,35,1518010.0
20,20,M003528940,20211224,48,1143413.0
21,21,M003574741,20211225,33,2440280.0
22,22,M003673750,20211225,70,3434270.0
23,23,M003765725,20211230,146,12730980.0
24,24,M003803545,20211230,148,7309465.0
25,25,M003834772,20211231,82,1596700.0
26,26,M003842970,20211023,65,5902070.0
27,27,M003972434,20211206,29,900820.0
28,28,M003978013,20211227,81,5409803.0
29,29,M004338856,20211218,97,4885464.0
30,30,M004368674,20211117,14,373430.0
31,31,M004382321,20211216,20,425150.0
32,32,M004430311,20210716,24,892510.0
33,33,M004452072,20210615,12,1199190.0
34,34,M004587507,20211226,9,7215740.0
35,35,M004593982,20211228,209,17798630.0
36,36,M004701344,20211224,30,2701060.0
37,37,M004725109,20211228,154,9368020.0
38,38,M004743281,20211211,60,10413050.0
39,39,M004831050,20211229,21,2005236.0
40,40,M004839058,20211229,77,4667766.0
41,41,M004843133,20211231,46,928544.0
42,42,M005113806,20211216,47,11317610.0
43,43,M005209297,20211231,161,5076546.0
44,44,M005360407,20211111,43,3353820.0
45,45,M005392126,20211229,72,3270335.0
46,46,M005701809,20211219,40,3431850.0
47,47,M005930833,20211230,147,9470624.0
48,48,M006101185,20211217,50,3104366.0
49,49,M006103201,20211231,156,14814595.0
50,50,M006114154,20211226,43,3212347.0
51,51,M006155904,20211218,25,651930.0
53,53,M006276409,20211218,23,9619620.0
54,54,M006358338,20210730,20,1020820.0
55,55,M006422356,20211030,41,2323583.0
56,56,M006453588,20210820,144,2294062.0
57,57,M006679751,20211225,50,1934470.0
58,58,M006728866,20211210,26,2970450.0
59,59,M006775596,20211221,31,3310891.0
60,60,M006904172,20211230,96,10665736.0
61,61,M006962764,20211213,35,1170330.0
62,62,M006985653,20211213,39,1707100.0
63,63,M006997862,20211229,143,11251611.0
64,64,M007196501,20211114,48,4828114.0
65,65,M007229712,20211227,44,2202280.0
66,66,M007463920,20211214,66,3728118.0
67,67,M007490836,20211218,73,3424660.0
68,68,M007569854,20211226,71,4777510.0
69,69,M007808106,20211121,25,714464.0
70,70,M008123058,20211206,37,930460.0
71,71,M008269534,20211010,111,16326800.0
72,72,M008280181,20211114,46,4117730.0
73,73,M008396737,20211219,24,5814830.0
74,74,M008527766,20211130,25,6843128.0
75,75,M008722896,20211205,41,659028.0
77,77,M008864908,20211213,22,988500.0
78,78,M008960015,20211219,21,456500.0
79,79,M009102336,20211203,12,505060.0
80,80,M009109982,20211214,44,8124509.0
81,81,M009120822,20211231,123,12020900.0
82,82,M009298760,20211129,10,429520.0
83,83,M009491102,20211214,56,2220280.0
84,84,M010031285,20211230,37,560281.0
85,85,M010034420,20210815,15,542400.0
86,86,M010053498,20211204,34,579770.0
87,87,M010674880,20211130,52,2032804.0
88,88,M010967394,20211205,58,2817723.0
89,89,M011187683,20211230,23,4340009.0
90,90,M011501995,20210919,14,699740.0
92,92,M011543777,20211215,22,2206882.0
93,93,M011946286,20211224,126,1154732.0
94,94,M011970152,20211206,7,312210.0
95,95,M012085309,20211101,60,4746776.0
